15
247.5  7.5 0.00375235
262.5  7.5 0.0487805
277.5  7.5 0.069606
292.5  7.5 0.00375235
307.5  7.5 0.000187617
187.5  22.5 0.000187617
247.5  22.5 0.00318949
262.5  22.5 0.0446529
277.5  22.5 0.0142589
292.5  22.5 0.000375235
232.5  37.5 0.000187617
247.5  37.5 0.00450281
262.5  37.5 0.0118199
277.5  37.5 0.000750469
232.5  52.5 0.000187617
247.5  52.5 0.00281426
262.5  52.5 0.00243902
292.5  52.5 0.000187617
7.5  67.5 0.000187617
22.5  67.5 0.000187617
247.5  67.5 0.000187617
262.5  67.5 0.000187617
292.5  67.5 0.000187617
247.5  82.5 0.000187617
262.5  82.5 0.000187617
292.5  82.5 0.000187617
307.5  82.5 0.000187617
22.5  97.5 0.000187617
37.5  97.5 0.000187617
97.5  97.5 0.000187617
232.5  97.5 0.000187617
247.5  97.5 0.000375235
277.5  97.5 0.000750469
292.5  97.5 0.000187617
337.5  97.5 0.000375235
247.5  112.5 0.000375235
262.5  112.5 0.00150094
277.5  112.5 0.00393996
292.5  112.5 0.00225141
322.5  112.5 0.000562852
337.5  112.5 0.000187617
7.5  127.5 0.000187617
217.5  127.5 0.000187617
262.5  127.5 0.00318949
277.5  127.5 0.019137
292.5  127.5 0.0146341
307.5  127.5 0.00469043
322.5  127.5 0.000562852
352.5  127.5 0.000562852
217.5  142.5 0.000187617
232.5  142.5 0.000187617
247.5  142.5 0.000187617
262.5  142.5 0.00581614
277.5  142.5 0.0619137
292.5  142.5 0.0718574
307.5  142.5 0.0144465
322.5  142.5 0.000187617
337.5  142.5 0.000375235
352.5  142.5 0.000187617
247.5  157.5 0.00131332
262.5  157.5 0.0138837
277.5  157.5 0.0994371
292.5  157.5 0.109756
307.5  157.5 0.00881801
322.5  157.5 0.000375235
37.5  172.5 0.000187617
67.5  172.5 0.000187617
82.5  172.5 0.000187617
97.5  172.5 0.000187617
232.5  172.5 0.000187617
247.5  172.5 0.000938086
262.5  172.5 0.0159475
277.5  172.5 0.0636023
292.5  172.5 0.043152
307.5  172.5 0.00187617
322.5  172.5 0.000375235
97.5  187.5 0.000187617
247.5  187.5 0.000562852
262.5  187.5 0.00356473
277.5  187.5 0.0135084
292.5  187.5 0.00806754
307.5  187.5 0.000187617
67.5  202.5 0.000187617
262.5  202.5 0.000938086
277.5  202.5 0.0043152
292.5  202.5 0.000562852
67.5  217.5 0.000187617
82.5  217.5 0.000187617
247.5  217.5 0.000187617
262.5  217.5 0.000187617
277.5  217.5 0.000562852
307.5  217.5 0.000187617
52.5  232.5 0.000187617
82.5  232.5 0.000187617
232.5  232.5 0.000375235
262.5  232.5 0.000187617
277.5  232.5 0.000375235
352.5  232.5 0.000375235
277.5  247.5 0.000187617
292.5  247.5 0.000187617
202.5  262.5 0.000187617
232.5  262.5 0.000187617
322.5  262.5 0.000187617
232.5  277.5 0.000187617
247.5  277.5 0.000187617
277.5  277.5 0.000187617
292.5  277.5 0.000562852
307.5  277.5 0.000375235
292.5  292.5 0.000375235
262.5  307.5 0.000187617
277.5  307.5 0.000750469
292.5  307.5 0.00131332
307.5  307.5 0.000375235
337.5  307.5 0.000187617
232.5  322.5 0.000375235
247.5  322.5 0.000562852
262.5  322.5 0.000187617
277.5  322.5 0.00487805
292.5  322.5 0.00450281
307.5  322.5 0.000375235
232.5  337.5 0.000375235
247.5  337.5 0.000562852
262.5  337.5 0.0054409
277.5  337.5 0.0253283
292.5  337.5 0.0189493
307.5  337.5 0.000938086
322.5  337.5 0.000375235
337.5  337.5 0.000187617
82.5  352.5 0.000187617
112.5  352.5 0.000187617
127.5  352.5 0.000187617
232.5  352.5 0.000187617
247.5  352.5 0.00225141
262.5  352.5 0.0318949
277.5  352.5 0.065666
292.5  352.5 0.0116323
307.5  352.5 0.000375235
